string,string_id,image_mean,image_median,image_latent_mean,subfreq_mean,subfreq_median,subfreq_latent_mean
igra,1367,0.6594133815871488,0.9435733873852392,0.10849834649577161,1.1288830758370305,1.6963455347561704,0.33038485688100616
element,1368,-1.040586618412851,-1.5564266126147608,-0.2820268776708952,-0.1676686483009009,-0.30365446524382955,-0.013953236243993583
mladost,1369,-0.10725328507951781,-0.056426612614760785,0.08976547722493855,0.6955497425036969,0.6963455347561704,0.4957068487560061
primatelj,1370,-1.040586618412851,-1.0564266126147608,-0.3050570081917283,0.32888307583703025,0.6963455347561704,0.20280359958933936
proljeće,1371,0.9260800482538154,0.9435733873852392,0.025182333891605513,0.7955497425036966,0.6963455347561704,0.3391533052143396
zaklada,1372,-0.8739199517461844,-1.0564266126147608,-0.10848266496256143,-0.47111692416297,-0.30365446524382955,-0.12099485749399363
razred,1373,0.692746714920482,0.9435733873852392,-0.01876755694172827,0.7978485930784092,0.6963455347561704,0.38788827833933937
kalcij,1374,-0.6739199517461842,-1.0564266126147608,-0.05497406610839484,-0.9044502574963031,-1.3036544652438296,-0.4335638613481603
smjer,1375,0.09274671492048236,-0.056426612614760785,0.23401834222493845,0.9622164091703636,0.6963455347561704,0.4311228209435063
putovanje,1376,0.55941338158714915,0.9435733873852392,0.18054992514160517,0.8288830758370298,0.6963455347561704,0.2773239315685063
plastenik,1377,0.6260800482538156,0.9435733873852392,0.09927072712077178,-0.7711169241629698,-1.3036544652438296,-0.3472334893689939
pošiljka,1378,0.6099510159957506,0.9435733873852392,0.19709841399577188,0.16221640917036328,-0.30365446524382955,0.1107495805268397
trag,1379,0.55941338158714915,0.9435733873852392,0.06694970014160484,0.10819342066461646,-0.30365446524382955,0.06786753396433953
kugla,1380,0.8689371911109585,0.9435733873852392,-0.05809488621256209,0.6288830758370301,0.6963455347561704,0.3716762937560061
pijesak,1381,0.9594133815871486,0.9435733873852392,-0.06011086548339506,-0.20445025749630297,-0.30365446524382955,-0.04919747655649376
razvitak,1382,-0.5405866184128509,-0.5564266126147608,-0.061813364025061546,0.02888307583702998,-0.30365446524382955,0.06588309511017298
shvaćanje,1383,-1.4739199517461845,-2.056426612614761,-0.4216480189208949,0.7288830758370302,0.6963455347561704,0.4408503766726728
uvjet,1384,-1.735988917263426,-2.056426612614761,-0.5842545104833952,0.5955497425036969,0.6963455347561704,0.20323830823517275
nedjelja,1385,0.692746714920482,0.9435733873852392,0.07386655274577159,1.1622164091703637,1.6963455347561704,0.2095987451101724
komunist,1386,-0.3739199517461844,-0.056426612614760785,0.0649808046207716,-0.37111692416296993,-0.30365446524382955,-0.10134669582732725
radost,1387,0.02608004825381549,0.4435733873852392,0.05113534503743855,0.7955497425036966,0.6963455347561704,0.2659580867768394
oblutak,1388,-0.33820566603189883,-0.056426612614760785,-0.009339448816728435,-1.5044502574963032,-1.3036544652438296,-0.7515106086398271
materijal,1389,0.09274671492048236,-0.056426612614760785,0.21704491816243854,0.6955497425036969,0.6963455347561704,0.45268251917267266
znanost,1390,-0.24058661841285112,-0.056426612614760785,0.06729531264160515,1.3288830758370298,1.6963455347561704,0.11620811917267293
kotlina,1391,-0.27391995174618433,-0.056426612614760785,0.03956893524577154,-1.2711169241629698,-1.3036544652438296,-0.6457124881189937
nijansa,1392,0.12608004825381558,-0.056426612614760785,0.1964409759749386,0.5622164091703636,0.6963455347561704,0.23983574511017292
baština,1393,-0.6072532850795178,-1.0564266126147608,0.0010818731624384625,-0.5469789931284872,-0.30365446524382955,-0.2862283069731606
nauka,1394,-0.7072532850795179,-1.0564266126147608,-0.12544532475422843,-0.1331858896802114,-0.30365446524382955,-0.17316847603566066
